Obs,DC
823680101,0.0626579831206964
831790701,0.0634651866184895
851180401,0.0706468743461286
851180501,0.0954586856127722
864330101,0.0742720175049304
864560101,0.0801860761795035
872390101,0.2168053656106448
893810501,0.0825035646913758
0883770201,0.10140328810351623
0904640201,0.07123033021533914
0904640301,0.07753087428017684
0913990201,0.08518232152477087
0914792901,0.061755425825947674
0914793101,0.03147005251474953
