Seg,Amplitude,Duration
0124710801_e1.lc,7.735394891429241,1299.8812531793062
0411980401_e1.lc,1.0996645159853478,710.5728569312653
0823680101_e1.lc,5.6634191743542415,1925.3022339797787
0823680101_e2.lc,7.598664723800118,2066.1173267379004
0831790701_e1.lc,6.000399496201797,2047.9413614425512
0831790701_e2.lc,5.627178304404816,2025.855435433116
0831790701_e3.lc,7.140635513938151,2042.675532562342
0831790701_e4.lc,5.115358662615643,2075.637888080676
0831790701_e5.lc,5.818959970389534,2080.402867434919
0851180401_e1.lc,48.4378430748891,1997.0231575562336
0851180401_e2.lc,7.6315806240481265,2185.784020968816
0851180401_e3.lc,6.050285738705415,1999.8382796175915
0851180401_e4.lc,6.218463871277629,2176.7786090083537
0851180401_e5.lc,6.466084432640806,2235.948897049784
0851180501_e1.lc,13.195821522058043,1223.5973893690875
0851180501_e2.lc,12.028559139693336,1426.344576032419
0851180501_e3.lc,17.417194957643684,1245.4960284394508
0861910201_e1.lc,7.363440635607382,1999.9183698323964
0861910301_e1.lc,105.43147428343684,18186.55804713637
0864330101_e1.lc,1.820802340350048,1666.9561141133229
0864330101_e2.lc,1.120510075445868,2060.736941555846
0864330101_e3.lc,1.884150107089934,2229.321085517935
0864330101_e4.lc,1.4742172890742582,1502.0176962282303
0864560101_e1.lc,4.253676110939439,1110.8445320479225
0864560101_e2.lc,10.424275508168774,1507.209464908644
0864560101_e3.lc,9.47696666039161,1375.9632088807984
0864560101_e4.lc,8.71097342360364,1022.9839155160204
0864560101_e5.lc,10.88283647130417,1327.9247923271316
0864560101_e6.lc,9.85086786791375,1238.105998487266
0864560101_e7.lc,11.375633794135233,1461.309777015107
0864560101_e8.lc,11.835401645499743,1275.0130172583229
0872390101_e1.lc,6.695202426901283,824.8021604470468
0872390101_e2.lc,10.398635379654651,698.3416731887195
0872390101_e3.lc,10.714960612188442,726.4916950939667
0872390101_e4.lc,8.781831810924004,845.0414995266198
0872390101_e5.lc,9.353147436987111,826.3246591024077
0872390101_e6.lc,8.413108395055655,734.5055123093779
0872390101_e7.lc,11.7176382008046,757.9015172571416
0872390101_e8.lc,9.638427332983635,787.2220397399863
0872390101_e9.lc,9.283091360743672,700.4123980506932
0893810501_e1.lc,11.29326333521785,962.6372368492488
0893810501_e2.lc,11.696943467855506,740.4191070259966
0893810501_e3.lc,8.0796508460502,754.6974551627324
0883770201_e1.lc,18.030771957664385,784.9251682482743
0883770201_e2.lc,16.187860457416342,858.6824906705191
0883770201_e3.lc,18.15001628650628,745.4891419768069
0883770201_e4.lc,20.915907940994842,937.9572135591255
0883770201_e5.lc,26.214246512886827,889.6207665873425
0883770201_e6.lc,22.673439131150992,758.7047245284995
0904640201_e1.lc,7.918752423591386,1626.757227000439
0904640201_e2.lc,10.22030283851072,1482.9678954149024
0904640201_e3.lc,11.507675418401181,1452.3143133998271
0904640201_e4.lc,9.632608001217033,1529.1596159741896
0904640201_e5.lc,12.602757681975136,1308.0590413402042
0904640201_e6.lc,8.689739797567785,1109.9430275662462
0904640301_e1.lc,11.427220855468242,1387.9057687108664
0904640301_e2.lc,13.700270774249336,1517.538506519854
0904640301_e3.lc,16.538619684476277,1349.4096258516302
0904640301_e4.lc,12.207029284939946,1438.3031180187847
0904640301_e5.lc,13.794083360334838,1255.8104401186738
0904640301_e6.lc,18.105043857723405,1395.4333752376979
0913990201_e1.lc,1.6921559215397588,1416.0563107865842
0913990201_e2.lc,5.009277323552394,1980.0924005216104
0914792901_e1.lc,1.2220241698568144,1634.7794381105552
0914792901_e2.lc,1.8946673861678158,2028.8152456913253
0914792901_e3.lc,1.4961937298905519,1367.898424210915
0914792901_e4.lc,2.1031914656524995,2117.7158620385003
0914793101_e1.lc,3.83975326872793,2154.1576489631025
0914793101_e2.lc,2.0060362023117806,1858.2181725205012
